radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820070101,12,4,0,0,0,0,0,0,16,0
820070102,19,7,0,0,0,0,0,0,26,0
820070103,3,15,0,0,0,0,1,0,19,0
820070104,8,2,1,0,0,0,0,0,11,0
820070201,0,9,0,0,0,0,0,0,9,0
820070202,0,23,0,0,0,0,4,0,27,0
820070203,0,4,0,0,0,0,0,0,4,0
820070204,0,12,0,0,0,0,0,0,12,0
820070205,0,27,0,0,0,0,1,0,28,0
820070206,0,4,0,0,1,0,1,0,6,0
820070207,0,5,0,0,0,0,0,0,5,0
820070208,0,49,0,0,0,0,1,0,51,1
820070209,9,11,0,0,0,0,0,1,21,0
820070210,0,22,0,2,0,0,0,1,25,0
820070211,0,9,0,0,0,0,0,1,10,0
820070212,17,5,1,0,3,0,0,0,26,0
820070213,1,4,0,0,0,0,0,0,5,0
820070214,1,5,0,0,0,0,0,0,6,0
820070215,0,12,0,1,0,0,0,0,13,0
820070216,0,40,1,0,0,0,8,2,51,0
820070217,3,31,0,0,0,0,0,0,34,0
820070301,1,5,0,0,0,0,0,1,7,0
820070302,0,3,0,0,0,0,1,0,4,0
820070303,2,4,0,0,0,0,0,0,6,0
820070304,0,1,0,0,0,0,0,0,1,0
820070305,0,30,0,0,0,0,0,0,30,0
820070306,0,17,0,0,0,0,0,1,18,0
820070307,4,1,0,0,0,0,0,1,6,0
820070308,2,32,0,0,0,0,1,3,39,1
820070309,12,3,0,0,0,0,1,0,16,0
820070310,2,28,1,0,1,0,0,0,34,2
820070311,3,5,0,0,1,2,0,0,11,0
820070312,0,5,0,0,0,0,0,0,5,0
820070313,1,9,0,0,0,0,2,1,13,0
820070314,0,2,0,0,0,0,0,0,2,0
820070315,1,16,0,1,1,0,0,0,19,0
820070401,14,45,0,0,0,0,0,0,59,0
820070402,0,6,0,0,0,0,0,0,6,0
820070403,0,10,0,0,0,0,1,0,11,0
820070404,0,11,0,1,0,0,0,0,12,0
820070405,0,2,0,1,0,0,0,0,3,0
820070406,20,21,0,1,0,0,0,0,42,0
820070407,2,75,0,0,0,0,0,0,83,6
820070408,9,54,1,0,0,0,0,1,65,0
820070409,4,115,1,0,0,0,0,0,120,0
820070410,2,20,0,0,0,0,0,0,22,0
820070411,0,2,0,0,0,0,0,0,2,0
820070412,8,17,0,0,0,0,0,1,26,0
820070413,4,106,2,0,0,0,2,4,118,0
820070414,1,30,0,0,0,0,0,0,31,0
820140101,4,12,0,0,0,1,0,1,18,0
820140102,1,26,0,0,0,0,0,0,27,0
820140103,0,3,0,0,0,0,0,0,3,0
820140104,0,3,0,0,0,0,0,0,3,0
820140105,2,8,1,0,0,0,0,0,11,0
820140106,3,3,0,0,0,0,1,0,7,0
820140107,6,22,1,0,0,0,0,1,30,0
820140108,2,18,0,0,0,0,1,0,21,0
820140109,3,9,0,0,1,0,0,2,15,0
820140110,1,13,0,1,0,0,0,0,15,0
820140111,5,29,1,0,3,0,0,1,40,1
820140112,2,5,0,0,0,0,0,1,8,0
820140113,0,13,0,0,0,0,0,0,13,0
820140114,0,4,0,0,0,0,0,0,4,0
820140115,0,14,0,0,0,0,1,0,15,0
820140116,0,12,0,0,0,0,0,2,14,0
820140117,0,7,0,0,0,0,0,0,7,0
820140118,0,1,0,0,0,0,0,0,1,0
