radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820070101,0,0,0,0,0,0,0,0,0,0
820070102,1,2,0,0,0,0,0,0,3,0
820070103,4,5,0,0,0,0,0,0,9,0
820070104,0,1,0,0,0,0,0,0,1,0
820070201,5,2,0,0,0,0,0,0,7,0
820070202,25,6,0,0,0,0,2,0,33,0
820070203,1,3,0,0,0,0,0,0,4,0
820070204,5,5,0,0,0,0,0,0,10,0
820070205,3,14,0,0,0,0,0,0,17,0
820070206,6,0,0,0,0,0,1,0,7,0
820070207,3,3,1,0,0,0,0,0,7,0
820070208,13,16,0,0,0,0,0,0,29,0
820070209,6,2,0,0,0,0,0,1,9,0
820070210,10,4,0,2,0,0,0,1,17,0
820070211,14,4,0,0,0,0,4,0,22,0
820070212,0,0,0,0,3,0,0,0,3,0
820070213,3,2,0,0,0,0,0,0,5,0
820070214,2,3,0,0,0,0,0,0,5,0
820070215,2,3,0,0,0,0,0,0,5,0
820070216,8,12,0,0,0,0,10,0,30,0
820070217,2,2,0,0,0,0,0,0,4,0
820070301,1,2,0,0,0,0,0,0,3,0
820070302,2,0,0,0,0,0,0,0,2,0
820070303,2,0,0,0,0,0,0,0,2,0
820070304,1,1,0,0,0,0,0,0,2,0
820070305,4,5,0,0,1,0,0,0,10,0
820070306,9,5,0,0,0,0,0,0,14,0
820070307,3,0,0,0,0,0,0,0,3,0
820070308,3,4,0,0,0,0,0,1,9,1
820070309,1,1,0,0,0,0,0,0,2,0
820070310,2,0,0,0,0,0,0,0,2,0
820070311,3,0,0,0,0,0,0,0,3,0
820070312,2,0,0,0,0,0,0,0,2,0
820070313,4,0,0,0,0,0,0,0,4,0
820070314,3,0,0,0,0,0,0,0,3,0
820070315,3,0,0,1,0,0,0,0,4,0
820070401,4,6,0,0,0,0,0,0,10,0
820070402,1,2,0,0,0,0,0,0,3,0
820070403,1,1,0,0,0,0,1,0,3,0
820070404,2,2,0,0,0,0,0,0,4,0
820070405,2,0,0,1,0,0,0,0,3,0
820070406,0,3,0,0,0,0,0,0,3,0
820070407,7,18,0,0,0,0,0,0,29,4
820070408,10,13,0,0,0,0,0,1,24,0
820070409,5,33,0,0,0,0,0,0,38,0
820070410,3,5,0,0,0,0,0,0,8,0
820070411,2,0,0,0,0,0,0,0,2,0
820070412,4,1,0,0,0,0,0,0,5,0
820070413,3,27,1,0,0,0,1,1,33,0
820070414,2,4,0,0,0,0,0,0,6,0
820140101,12,1,0,0,0,2,0,1,16,0
820140102,6,2,0,0,0,0,0,0,8,0
820140103,1,0,0,0,0,0,0,0,1,0
820140104,5,1,0,0,0,0,0,0,6,0
820140105,4,1,1,0,0,0,0,0,6,0
820140106,2,0,0,0,0,0,0,0,2,0
820140107,2,4,1,0,0,0,0,0,7,0
820140108,3,3,0,0,0,0,0,0,6,0
820140109,2,1,0,0,0,0,0,0,3,0
820140110,0,1,0,1,0,0,0,0,2,0
820140111,3,7,0,0,0,0,0,0,11,1
820140112,2,0,0,0,0,0,0,0,2,0
820140113,4,1,0,0,0,0,0,0,5,0
820140114,8,3,0,0,0,0,0,0,11,0
820140115,4,0,0,0,0,0,0,0,4,0
820140116,3,3,0,0,0,0,0,1,7,0
820140117,0,5,0,0,0,0,0,0,5,0
820140118,0,0,0,0,0,0,0,0,0,0
820140119,0,0,5,0,0,0,0,0,5,0
820140120,0,0,0,0,0,0,0,0,0,0
820140121,0,0,0,0,0,0,0,0,0,0
820140122,0,1,0,0,0,0,0,0,1,0
820140123,0,0,0,0,0,0,0,0,0,0
820140124,0,0,0,0,0,0,0,0,0,0
820140125,0,0,0,0,0,0,0,0,0,0
820140126,0,0,0,0,0,0,0,0,0,0
820140127,1,0,0,0,0,0,0,0,1,0
820140128,2,0,0,0,0,0,0,0,2,0
820140129,1,0,0,0,0,0,0,1,2,0
820140130,2,0,0,0,0,0,0,0,2,0
820140201,0,0,0,0,0,0,0,0,0,0
820140202,0,0,0,0,0,0,0,0,0,0
820140203,1,0,0,0,0,0,0,0,1,0
820140204,7,6,1,0,0,0,4,3,21,0
820140205,4,0,0,0,0,0,0,2,6,0
820140206,3,1,0,0,0,0,0,0,4,0
820140207,1,0,0,0,0,0,0,0,1,0
820140208,1,0,0,0,0,0,0,0,1,0
820140209,2,0,0,0,0,0,0,0,2,0
820140210,1,0,0,0,0,0,0,0,1,0
820140211,4,0,0,0,0,0,0,0,4,0
820140212,2,0,0,0,0,0,0,0,2,0
820140213,2,0,0,0,0,0,0,0,2,0
820140214,3,0,0,0,0,0,0,0,3,0
820140215,0,0,0,1,0,0,0,0,1,0
820140216,0,0,0,0,0,0,0,0,0,0
820140217,0,0,0,0,0,0,0,0,0,0
820140218,7,2,0,0,0,0,0,0,9,0
820140219,0,6,0,0,0,0,0,1,7,0
820140301,0,0,0,0,0,0,0,0,0,0
820140302,3,0,0,1,0,0,0,0,4,0
820140303,4,0,0,2,0,4,0,0,10,0
820140304,0,0,0,1,0,0,0,0,1,0
820140305,1,0,0,0,0,0,0,0,1,0
820140306,0,1,0,0,1,0,0,2,4,0
820140307,10,13,0,0,0,0,2,0,25,0
820140308,3,2,0,2,0,0,0,0,7,0
820140309,1,3,0,0,0,0,0,0,4,0
820140310,10,4,0,0,0,0,0,0,14,0
820140311,6,0,0,0,0,0,0,0,6,0
820140312,0,0,0,0,0,0,0,0,0,0
820140401,2,2,0,0,0,0,0,0,4,0
820140402,3,0,0,0,0,0,0,0,3,0
820140403,3,0,0,0,0,0,0,0,3,0
820140404,1,0,0,0,0,0,0,0,1,0
820140405,1,1,0,0,0,0,0,0,2,0
820140406,4,0,0,0,0,0,0,0,4,0
820140407,3,3,0,0,0,0,0,0,6,0
820140408,8,13,1,0,0,0,1,1,24,0
820140409,4,1,0,0,0,0,0,0,5,0
820140410,1,0,0,0,0,0,0,0,1,0
820140411,0,0,0,0,0,0,0,0,0,0
820140412,11,0,0,0,0,0,0,0,11,0
820140413,0,0,0,0,0,0,0,0,0,0
820140414,0,0,0,0,0,0,0,0,0,0
820140415,0,0,0,0,0,0,0,1,1,0
820140416,8,5,0,0,0,0,0,0,13,0
820140417,0,0,0,0,0,0,0,0,0,0
820140418,0,2,0,0,0,0,0,0,2,0
