radio_cens,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820070101,0,0,0,0,0,0,0,0,0
820070102,3,0,0,0,0,0,0,3,0
820070103,5,0,0,0,0,0,0,5,0
820070104,1,0,0,0,0,0,0,1,0
820070201,1,0,0,0,0,0,0,1,0
820070202,3,0,0,0,0,0,0,3,0
820070203,0,0,0,0,0,0,0,0,0
820070204,1,0,0,0,0,0,0,1,0
820070205,6,0,0,0,0,0,0,6,0
820070206,1,0,0,0,0,0,0,1,0
820070207,15,0,0,0,0,0,0,15,0
820070208,15,0,0,0,0,0,0,16,1
820070209,1,0,0,0,0,0,0,1,0
820070210,8,0,0,0,0,0,0,8,0
820070211,6,0,0,0,0,0,0,6,0
820070212,0,0,0,0,0,0,0,0,0
820070213,1,0,0,0,0,0,0,1,0
820070214,2,0,0,0,0,0,0,2,0
820070215,0,0,0,0,0,0,0,0,0
820070216,7,0,0,0,0,2,1,10,0
820070217,5,0,0,0,0,0,0,5,0
820070301,2,0,0,0,0,0,0,2,0
820070302,7,0,0,0,0,0,0,7,0
820070303,1,0,0,0,0,0,0,1,0
820070304,0,0,0,0,0,0,0,0,0
820070305,0,0,0,1,0,0,0,1,0
820070306,9,0,0,0,0,0,0,9,0
820070307,0,0,0,0,0,0,0,0,0
820070308,2,0,0,0,0,0,1,3,0
820070309,1,0,0,0,0,2,0,3,0
820070310,2,1,0,1,0,0,0,6,2
820070311,4,0,0,0,2,0,0,6,0
820070312,0,0,0,0,0,0,0,0,0
820070313,0,0,0,0,0,0,0,0,0
820070314,0,0,0,0,0,0,0,0,0
820070315,5,0,0,1,0,1,0,7,0
820070401,4,0,0,0,0,0,0,4,0
820070402,0,0,0,0,0,0,0,0,0
820070403,1,0,0,0,0,1,0,2,0
820070404,1,0,0,0,0,0,0,1,0
820070405,0,0,0,0,0,0,0,0,0
820070406,2,0,0,0,0,0,0,2,0
820070407,5,0,0,0,0,0,0,7,2
820070408,4,0,0,0,0,0,0,4,0
820070409,10,0,0,0,0,0,0,10,0
820070410,7,0,0,0,0,0,0,7,0
820070411,0,0,0,0,0,0,0,0,0
820070412,2,0,0,0,0,0,0,2,0
820070413,6,1,0,0,0,2,2,11,0
820070414,4,0,0,0,0,0,0,4,0
820140101,1,0,0,0,0,0,0,1,0
820140102,9,0,0,0,0,0,0,9,0
820140103,0,0,0,0,0,0,0,0,0
820140104,0,0,0,0,0,0,0,0,0
820140105,0,0,0,0,0,0,0,0,0
820140106,1,0,0,0,0,0,0,1,0
820140107,4,0,0,0,0,0,2,6,0
820140108,2,0,0,0,0,0,0,2,0
820140109,0,0,0,0,0,0,0,0,0
820140110,0,0,0,0,0,0,0,0,0
820140111,4,0,0,5,0,0,0,9,0
820140112,1,0,0,0,0,0,1,2,0
820140113,2,0,0,0,0,0,0,2,0
820140114,1,0,0,0,0,0,0,1,0
820140115,6,0,0,0,0,0,0,6,0
820140116,0,0,0,0,0,0,1,1,0
820140117,2,0,0,0,0,0,0,2,0
820140118,0,0,0,0,0,0,0,0,0
820140119,0,0,0,0,0,0,0,0,0
820140120,0,0,0,0,0,0,0,0,0
820140121,0,0,0,0,0,0,0,0,0
820140122,0,0,0,0,0,0,0,0,0
820140123,0,0,0,0,0,0,0,0,0
820140124,1,0,0,0,0,0,0,1,0
820140125,0,0,0,0,0,0,0,0,0
820140126,0,1,0,0,0,0,0,1,0
820140127,0,0,0,0,0,0,0,0,0
820140128,0,0,0,0,0,0,0,0,0
820140129,0,0,0,0,0,0,0,0,0
820140130,0,0,1,0,0,0,0,1,0
820140201,0,0,0,0,0,0,0,0,0
820140202,0,0,0,0,0,0,0,0,0
820140203,2,2,0,0,0,0,0,4,0
820140204,4,0,0,0,0,0,1,5,0
820140205,0,0,0,0,0,0,0,0,0
820140206,0,0,0,0,0,0,0,0,0
820140207,1,0,0,0,0,0,0,1,0
820140208,4,1,0,0,0,0,0,5,0
820140209,0,0,0,0,0,0,0,0,0
820140210,0,0,0,0,0,0,0,0,0
820140211,0,0,0,0,0,0,0,0,0
820140212,0,0,0,0,0,0,0,0,0
820140213,1,0,0,0,0,0,0,1,0
820140214,0,0,0,0,0,0,0,0,0
820140215,0,0,0,0,0,0,0,0,0
820140216,0,0,0,0,0,0,0,0,0
820140217,0,0,0,0,0,0,0,0,0
820140218,3,0,0,0,0,0,0,3,0
820140219,3,0,0,0,0,0,0,3,0
820140301,0,0,0,0,0,0,0,0,0
820140302,0,0,0,0,0,0,0,0,0
820140303,0,1,0,0,0,0,0,1,0
820140304,1,0,0,0,0,0,0,1,0
820140305,0,0,0,0,0,0,0,0,0
820140306,0,0,0,0,0,0,1,1,0
820140307,2,0,0,0,0,0,0,2,0
820140308,2,0,2,0,0,0,0,4,0
820140309,3,0,0,0,0,0,0,3,0
820140310,1,0,0,0,0,0,0,1,0
820140311,6,0,0,0,0,0,0,6,0
820140312,0,0,0,0,0,0,0,0,0
820140401,4,0,0,0,0,0,1,5,0
820140402,1,0,0,0,0,0,0,1,0
820140403,0,0,0,0,0,0,0,0,0
820140404,2,0,0,0,0,0,0,2,0
820140405,0,0,0,0,0,0,0,0,0
820140406,1,0,0,0,0,0,0,1,0
820140407,1,0,0,0,0,0,2,3,0
820140408,8,0,0,0,0,0,0,8,0
820140409,0,0,0,0,0,0,0,0,0
820140410,1,0,0,0,0,0,0,1,0
820140411,0,0,0,0,0,0,0,0,0
820140412,0,0,0,0,0,0,0,0,0
820140413,0,0,0,0,0,0,0,0,0
820140414,0,0,0,0,0,0,0,0,0
820140415,0,0,0,0,0,0,0,0,0
820140416,2,0,0,0,0,0,0,2,0
820140417,1,0,0,0,0,0,0,1,0
820140418,0,0,0,0,0,0,0,0,0
820140419,0,0,0,0,0,0,0,0,0
820140420,0,0,0,0,0,0,0,0,0
820140501,1,1,0,0,0,0,0,2,0
820140502,3,0,0,0,0,0,0,3,0
820140503,2,0,0,0,0,0,0,2,0
820140504,2,0,0,0,0,0,0,2,0
820140505,1,0,0,0,0,0,1,2,0
820140506,1,0,0,0,0,0,0,1,0
820140507,0,0,0,0,0,0,1,1,0
820140508,0,0,0,0,0,0,0,0,0
820140509,0,0,0,0,0,0,0,0,0
820140510,0,0,0,0,0,0,1,1,0
820140511,6,0,0,0,0,0,0,6,0
820140512,0,0,0,0,0,0,0,0,0
820140513,4,0,0,1,0,0,0,5,0
820140514,5,0,0,0,0,0,0,5,0
820140515,1,0,0,0,0,0,0,1,0
820140516,0,0,0,0,0,0,0,0,0
820140517,1,0,0,0,0,0,0,1,0
820140518,0,0,0,0,0,0,0,0,0
820140519,0,0,0,0,0,1,0,1,0
820140520,0,0,0,0,0,0,0,0,0
820140521,0,0,0,0,0,0,0,0,0
820140522,1,0,0,0,0,0,0,1,0
820140523,10,0,0,0,0,0,0,11,1
820140524,1,0,0,0,0,0,0,1,0
820140601,28,6,0,0,0,0,15,49,0
820140602,3,0,0,0,0,0,0,3,0
820140603,0,0,0,0,0,0,0,0,0
820140604,0,0,0,0,0,0,0,0,0
820140605,8,0,0,0,0,0,0,8,0
820140606,2,0,0,0,0,0,0,2,0
820140607,3,0,0,0,0,0,0,3,0
820140608,4,0,1,0,0,0,0,5,0
820140609,11,0,0,0,0,0,2,13,0
820140610,0,0,0,0,0,0,0,0,0
820140611,0,0,0,0,0,0,0,0,0
820149001,0,0,0,0,0,0,0,0,0
820210101,0,0,0,0,0,0,0,0,0
820210102,0,0,0,0,0,0,0,0,0
820210103,7,0,0,0,0,0,4,11,0
820210104,3,0,0,0,0,0,0,3,0
820210105,0,0,0,0,0,0,0,0,0
820210106,2,0,0,0,0,0,0,2,0
820210107,1,0,0,0,0,0,0,1,0
820210108,0,0,0,0,0,0,0,0,0
820210109,0,0,0,0,0,0,0,0,0
820210110,2,0,0,0,0,0,0,2,0
820210111,0,0,0,0,0,0,0,0,0
820210112,4,0,0,0,0,0,0,4,0
820210113,0,0,0,0,0,0,0,0,0
820210114,0,0,0,0,0,0,0,0,0
820210115,1,0,0,0,0,0,0,1,0
820210116,0,0,0,0,0,0,0,0,0
820210117,2,0,0,0,0,0,0,2,0
820210118,3,0,0,0,0,0,0,3,0
820210119,4,0,0,0,0,0,0,4,0
820210120,2,1,0,2,0,0,0,5,0
820210121,0,0,0,0,0,0,0,0,0
820210122,0,0,0,0,0,0,0,0,0
820210123,0,0,0,0,0,0,0,0,0
820210124,6,0,0,1,0,0,0,7,0
820210125,1,0,0,0,0,0,0,1,0
