radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820070101,12,4,0,0,0,0,0,0,16,0
820070102,20,7,0,0,0,0,0,0,27,0
820070103,7,12,0,0,0,0,1,0,20,0
820070104,8,3,1,0,0,0,0,0,12,0
820070201,5,9,0,0,0,0,0,0,14,0
820070202,25,22,0,0,0,0,5,0,52,0
820070203,1,4,0,0,0,0,0,0,5,0
820070204,5,11,0,0,0,0,0,0,16,0
820070205,3,29,0,0,0,0,1,0,33,0
820070206,6,4,0,0,1,0,1,0,12,0
820070207,3,5,1,0,0,0,0,0,9,0
820070208,13,41,0,0,0,0,1,0,55,0
820070209,13,10,0,0,0,0,0,1,24,0
820070210,10,16,0,2,0,0,0,1,29,0
820070211,14,8,0,0,0,0,4,1,27,0
820070212,17,5,1,0,3,0,0,0,26,0
820070213,4,5,0,0,0,0,0,0,9,0
820070214,3,5,0,0,0,0,0,0,8,0
820070215,2,14,0,1,0,0,0,0,17,0
820070216,8,41,1,0,0,0,10,1,61,0
820070217,5,28,0,0,0,0,0,0,33,0
820070301,2,4,0,0,0,0,0,1,7,0
820070302,2,3,0,0,0,0,1,0,6,0
820070303,4,4,0,0,0,0,0,0,8,0
820070304,1,1,0,0,0,0,0,0,2,0
820070305,4,30,0,0,1,0,0,0,35,0
820070306,9,12,0,0,0,0,0,1,22,0
820070307,7,1,0,0,0,0,0,1,9,0
820070308,5,30,0,0,0,0,1,2,39,1
820070309,13,2,0,0,0,0,0,0,15,0
820070310,4,26,0,0,0,0,0,0,30,0
820070311,6,4,0,0,1,0,0,0,11,0
820070312,2,5,0,0,0,0,0,0,7,0
820070313,5,9,0,0,0,0,2,1,17,0
820070314,3,2,0,0,0,0,0,0,5,0
820070315,4,15,0,1,0,0,0,0,20,0
820070401,18,43,0,0,0,0,0,0,61,0
820070402,1,6,0,0,0,0,0,0,7,0
820070403,1,9,0,0,0,0,1,0,11,0
820070404,2,10,0,1,0,0,0,0,13,0
820070405,2,2,0,1,0,0,0,0,5,0
820070406,20,19,0,1,0,0,0,0,40,0
820070407,9,73,0,0,0,0,0,0,86,4
820070408,19,50,1,0,0,0,0,1,71,0
820070409,9,109,1,0,0,0,0,0,119,0
820070410,5,16,0,0,0,0,0,0,21,0
820070411,2,2,0,0,0,0,0,0,4,0
820070412,12,15,0,0,0,0,0,1,28,0
820070413,7,103,1,0,0,0,1,2,114,0
820070414,3,27,0,0,0,0,0,0,30,0
820140101,15,13,0,0,0,2,0,1,31,0
820140102,7,21,0,0,0,0,0,0,28,0
820140103,1,3,0,0,0,0,0,0,4,0
820140104,5,3,0,0,0,0,0,0,8,0
820140105,6,8,1,0,0,0,0,0,15,0
820140106,5,3,0,0,0,0,1,0,9,0
820140107,8,21,1,0,0,0,0,0,30,0
820140108,5,16,0,0,0,0,1,0,22,0
820140109,5,9,0,0,1,0,0,2,17,0
820140110,1,13,0,1,0,0,0,0,15,0
820140111,8,27,1,0,0,0,0,1,38,1
820140112,4,5,0,0,0,0,0,0,9,0
820140113,4,12,0,0,0,0,0,0,16,0
820140114,8,4,0,0,0,0,0,0,12,0
820140115,4,9,0,0,0,0,1,0,14,0
820140116,3,12,0,0,0,0,0,2,17,0
820140117,0,8,0,0,0,0,0,0,8,0
820140118,0,1,0,0,0,0,0,0,1,0
820140119,0,0,5,0,0,0,0,0,5,0
820140120,3,1,0,0,0,0,0,0,4,0
820140121,2,0,0,0,0,0,0,0,2,0
820140122,1,5,0,0,0,0,0,0,6,0
820140123,0,0,0,0,0,0,0,0,0,0
820140124,4,0,0,0,0,0,0,0,4,0
820140125,3,1,0,0,0,0,0,0,4,0
