radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,NSA :,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820070102,103,11,0,4,0,0,0,0,0,118,0
820070103,373,27,0,0,0,1,0,1,0,401,0
820070104,65,4,1,1,0,0,0,0,0,71,0
820070201,317,12,0,3,0,0,0,0,0,332,0
820070202,341,29,0,3,0,0,0,5,1,379,0
820070203,296,4,0,4,0,3,0,0,0,304,0
820070204,351,17,0,0,0,1,0,2,0,370,0
820070205,306,54,0,0,0,0,0,3,0,363,0
820070206,253,9,0,1,4,0,0,4,0,271,0
820070207,213,22,1,6,1,2,0,0,0,243,0
820070208,433,75,0,3,0,1,0,7,1,520,1
820070209,84,12,0,0,0,0,0,0,1,98,1
820070210,263,28,0,2,0,0,0,0,1,294,0
820070211,365,18,0,4,0,0,0,4,1,392,0
820070212,85,7,1,0,4,0,0,0,0,97,0
820070213,239,6,0,0,1,2,0,0,0,246,0
820070214,225,7,0,0,0,0,0,0,0,232,0
820070215,196,20,0,1,0,0,0,0,0,217,0
820070216,252,60,2,0,1,0,0,13,2,330,0
820070217,206,43,0,0,0,0,0,0,0,249,0
820070301,289,9,0,1,0,0,0,1,2,302,0
820070302,380,12,0,2,1,0,0,1,0,396,0
820070303,348,7,0,20,1,0,0,0,0,376,0
820070304,342,3,0,5,0,9,0,3,0,353,0
820070305,354,41,0,0,3,0,0,2,0,400,0
820070306,315,34,2,0,0,0,0,1,1,353,0
820070307,95,1,0,0,0,0,0,0,1,97,0
820070308,221,36,0,0,0,0,0,1,3,262,1
820070309,79,3,0,0,0,0,0,2,0,84,0
820070310,453,31,1,0,1,3,0,0,0,488,2
820070311,302,14,0,2,2,0,2,2,0,324,0
820070312,351,9,0,47,2,0,0,0,0,409,0
820070313,246,11,0,3,0,0,0,3,1,264,0
820070314,150,2,0,91,0,0,0,0,0,243,0
820070315,286,33,0,1,1,0,0,1,0,323,1
820070401,200,53,0,0,0,0,0,1,0,254,0
820070402,190,6,0,2,0,1,0,0,0,198,0
820070403,302,11,0,11,0,0,0,2,0,326,0
820070404,195,11,0,6,1,2,0,0,0,213,0
820070405,248,2,0,23,0,1,0,2,0,275,0
820070406,271,25,0,1,0,1,0,0,0,297,0
820070407,267,84,0,3,1,0,0,0,0,361,6
820070408,272,61,1,0,0,0,0,0,1,335,0
820070409,335,130,1,0,0,0,0,0,0,466,0
820070410,219,23,0,0,0,0,0,0,0,242,0
820070411,226,4,0,3,2,1,0,1,0,236,0
820070412,368,20,0,1,0,0,0,0,2,391,0
820070413,159,120,4,3,0,0,0,4,4,294,0
820070414,281,34,0,0,0,0,0,0,0,315,0
820140101,403,17,0,0,0,0,2,4,2,428,0
820140102,382,35,0,1,0,0,0,0,1,419,0
820140103,275,4,1,0,0,1,0,0,1,281,0
820140104,226,3,0,0,0,2,0,1,0,230,0
820140105,278,8,1,2,4,2,0,0,0,293,0
820140106,362,4,0,4,0,2,0,1,0,371,0
820140107,286,36,1,0,0,0,0,0,3,326,0
820140108,254,21,0,0,0,0,0,2,0,277,0
820140109,426,10,0,10,3,4,0,0,2,451,0
820140110,417,13,0,2,0,1,0,0,0,432,0
820140111,294,41,1,0,6,0,0,0,1,345,2
820140112,401,6,0,1,0,1,0,1,1,410,0
820140113,294,17,0,1,0,0,0,1,0,313,0
820140114,363,7,0,3,0,0,0,1,0,374,0
820140115,428,21,0,9,0,0,0,2,0,460,0
820140116,231,14,0,0,0,2,0,0,5,250,0
820140117,253,16,1,6,0,0,0,2,0,278,0
820140118,6,1,0,0,0,0,0,0,0,7,0
820140119,17,1,5,0,0,0,0,0,0,23,0
820140120,33,2,0,0,0,0,0,0,0,35,0
820140121,45,0,0,0,0,0,0,0,0,45,0
820140122,12,5,0,0,0,0,0,0,0,17,0
820140123,6,0,0,0,0,0,0,0,0,6,0
820140124,28,1,0,0,0,0,0,0,0,29,0
820140125,18,2,0,0,0,0,0,0,0,20,0
820140126,42,6,1,0,0,0,0,0,0,49,0
820140127,28,4,0,0,0,0,0,0,0,32,0
820140128,59,4,0,0,0,0,0,0,1,64,0
820140129,37,5,0,0,0,0,0,0,4,46,0
820140130,259,2,0,5,0,1,0,0,0,266,0
820140201,44,5,0,4,0,0,0,0,1,54,0
820140202,21,10,2,0,0,0,0,0,0,33,0
820140203,282,5,2,14,1,1,0,0,0,304,0
820140204,433,40,4,2,0,0,0,4,8,491,0
820140205,285,3,1,3,2,0,0,0,3,297,0
820140206,311,5,0,6,0,0,0,0,0,322,0
820140207,317,10,0,0,0,1,0,0,0,327,0
820140208,230,5,1,21,0,0,1,4,1,263,0
820140209,218,1,0,7,0,0,0,0,0,226,0
820140210,285,1,0,51,1,2,0,0,0,338,0
820140211,222,0,0,18,0,2,0,0,0,240,0
820140212,168,5,0,4,0,1,0,0,0,177,0
820140213,180,3,0,17,2,1,0,1,0,203,0
820140214,186,0,0,21,1,2,0,0,0,208,0
820140215,170,0,0,16,0,0,0,0,0,186,0
820140216,198,3,0,10,0,3,0,0,0,211,0
820140217,229,0,0,5,0,0,0,0,0,234,0
820140218,375,21,0,0,0,0,0,0,2,398,0
820140219,228,27,0,4,0,0,0,1,1,261,0
820140301,226,0,0,2,0,1,0,0,0,228,0
820140302,243,0,0,15,0,4,0,1,0,259,0
820140303,346,5,1,75,0,1,4,2,0,434,1
820140304,206,2,0,5,0,0,0,0,0,213,0
820140305,280,3,0,6,0,0,0,0,0,289,0
820140306,67,19,0,0,1,0,0,0,7,94,0
820140307,415,44,0,9,0,0,0,4,1,473,0
820140308,56,7,0,195,0,0,0,0,1,259,0
820140309,270,12,0,0,0,0,0,0,0,282,0
820140310,279,7,0,24,0,0,0,3,0,313,0
820140311,232,22,3,39,0,0,0,1,0,298,1
820140312,25,12,0,0,1,0,0,0,1,39,0
820140401,254,24,0,0,0,1,0,0,5,283,0
820140402,319,12,0,0,0,0,0,0,0,331,0
820140403,330,10,0,5,1,0,0,0,0,346,0
820140404,313,14,0,0,1,0,0,0,0,328,0
820140405,300,5,0,3,0,0,0,1,0,309,0
820140406,375,22,0,0,0,0,0,0,1,398,0
820140407,274,13,0,0,0,0,0,0,3,290,0
820140408,324,47,2,0,1,1,0,1,2,377,0
820140409,216,8,0,6,0,0,0,0,1,231,0
820140410,265,18,1,0,0,3,0,0,1,285,0
820140411,311,6,0,8,0,0,0,2,0,327,0
820140412,326,7,0,0,0,0,0,1,6,340,0
820140413,17,1,0,0,0,0,0,0,1,19,0
820140414,4,0,0,0,0,0,0,0,0,5,1
820140415,86,4,3,0,0,0,0,1,3,97,0
820140416,75,24,0,0,0,0,0,0,2,101,0
820140417,47,7,0,0,1,1,0,0,1,56,0
820140418,70,10,0,0,0,0,0,0,0,80,0
820140419,335,16,0,0,0,0,0,1,0,352,0
